surface,time_s,waypoint_index,x,y,z,force_n,speed_m_s,mode,event
countertop,0.0,0,0.22,-0.27999999999999997,0.5,1.5,0.0,position,approach
countertop,0.05,0,0.22,-0.27999999999999997,0.5,3.0,0.0,position,approach
countertop,0.1,0,0.22,-0.27999999999999997,0.5,3.0,0.0,force,switch_to_force_control
countertop,0.15000000000000002,0,0.22,-0.27999999999999997,0.5,4.4,0.192,force,track
countertop,0.2,1,0.24,-0.27999999999999997,0.5,5.5200000000000005,0.19474318245964362,force,track
countertop,0.25,1,0.24,-0.27999999999999997,0.5,6.416,0.19715374149790155,force,track
countertop,0.3,2,0.26,-0.27999999999999997,0.5,7.1328000000000005,0.19715374149790155,force,track
countertop,0.35,2,0.26,-0.27999999999999997,0.5,7.70624,0.19893938580475212,force,track
countertop,0.39999999999999997,2,0.26,-0.27999999999999997,0.5,8.164992,0.1998835978399077,force,track
countertop,0.44999999999999996,3,0.27999999999999997,-0.27999999999999997,0.5,8.5319936,0.19893938580475212,force,track
countertop,0.49999999999999994,3,0.27999999999999997,-0.27999999999999997,0.5,8.82559488,0.1998835978399077,force,track
countertop,0.5499999999999999,4,0.29999999999999993,-0.27999999999999997,0.5,9.060475904,0.1998835978399077,force,track
countertop,0.6,4,0.29999999999999993,-0.27999999999999997,0.5,9.2483807232,0.1998718875749915,force,track
countertop,0.65,5,0.31999999999999995,-0.27999999999999997,0.5,9.39870457856,0.1998718875749915,force,track
countertop,0.7000000000000001,5,0.31999999999999995,-0.27999999999999997,0.5,9.518963662848,0.198905674933191,force,track
countertop,0.7500000000000001,5,0.31999999999999995,-0.27999999999999997,0.5,9.6151709302784,0.19710211761707605,force,track
countertop,0.8000000000000002,6,0.33999999999999997,-0.27999999999999997,0.5,9.692136744222719,0.198905674933191,force,track
countertop,0.8500000000000002,6,0.33999999999999997,-0.27999999999999997,0.5,9.753709395378175,0.19710211761707605,force,track
countertop,0.9000000000000002,6,0.33999999999999997,-0.27999999999999997,0.5,9.802967516302541,0.19467990520124723,force,track
countertop,0.9500000000000003,7,0.35999999999999993,-0.27999999999999997,0.5,9.842374013042033,0.19710211761707605,force,track
countertop,1.0000000000000002,7,0.35999999999999993,-0.27999999999999997,0.5,9.873899210433626,0.19467990520124723,force,track
countertop,1.0500000000000003,8,0.3799999999999999,-0.27999999999999997,0.5,9.8991193683469,0.19467990520124723,force,track
countertop,1.1000000000000003,8,0.3799999999999999,-0.27999999999999997,0.5,9.91929549467752,0.1919327420210628,force,track
countertop,1.1500000000000004,9,0.3999999999999999,-0.27999999999999997,0.5,9.935436395742016,0.1919327420210628,force,track
countertop,1.2000000000000004,9,0.3999999999999999,-0.27999999999999997,0.5,9.948349116593613,0.18919373417848306,force,track
countertop,1.2500000000000004,9,0.3999999999999999,-0.27999999999999997,0.5,9.95867929327489,0.18679499890347867,force,track
countertop,1.3000000000000005,10,0.41999999999999993,-0.27999999999999997,0.5,9.966943434619912,0.18919373417848306,force,track
countertop,1.3500000000000005,10,0.41999999999999993,-0.27999999999999997,0.5,9.97355474769593,0.18679499890347867,force,track
countertop,1.4000000000000006,10,0.41999999999999993,-0.27999999999999997,0.5,9.978843798156744,0.1850273938206913,force,track
countertop,1.4500000000000006,11,0.4399999999999999,-0.27999999999999997,0.5,9.983075038525396,0.18679499890347867,force,track
countertop,1.5000000000000007,11,0.4399999999999999,-0.27999999999999997,0.5,9.986460030820316,0.1850273938206913,force,track
countertop,1.5500000000000007,12,0.4599999999999999,-0.27999999999999997,0.5,9.989168024656253,0.1850273938206913,force,track
countertop,1.6000000000000008,12,0.4599999999999999,-0.27999999999999997,0.5,9.991334419725003,0.18410524913197412,force,track
countertop,1.6500000000000008,12,0.4599999999999999,-0.27999999999999997,0.5,9.993067535780003,0.18414037909900535,force,track
countertop,1.7000000000000008,13,0.47999999999999987,-0.27999999999999997,0.5,9.994454028624002,0.18410524913197412,force,track
countertop,1.7500000000000009,13,0.47999999999999987,-0.27999999999999997,0.5,9.995563222899202,0.18414037909900535,force,track
countertop,1.800000000000001,14,0.49999999999999983,-0.27999999999999997,0.5,9.996450578319362,0.18414037909900535,force,track
