x,y,z,joint_names,joint_positions
0.55,0.285,0.7775000000000003,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.3113889638;-1.2328881723;0.9370739880;3.4374068202;4.4010000155;4.7123889228
0.55,0.285,0.7975000000000003,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.3113890158;-1.2135736952;0.8563883969;3.4987779517;-1.8821853426;4.5378560552
0.55,0.285,0.8175000000000003,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-5.9717974972;5.0942610507;0.7661764707;-2.7188448685;4.4010011704;-1.5707963281
0.55,0.285,0.8375000000000004,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.3113889634;5.1260937728;0.6625362082;-2.6470373285;4.4010000169;-1.6580627932
0.55,0.285,0.8775000000000004,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.3113890302;5.2313860859;0.3729568851;3.8204349895;4.4009999502;4.6251225175
0.55,-0.285,0.8649999999999999,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-3.4529816170;4.2359650815;-0.4829746577;-0.6113977695;1.8821852905;4.5378560600
0.55,-0.285,0.8249999999999998,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.8302036847;4.3195331568;-0.7291203194;5.8343649613;-4.4009999854;-1.3962638856
0.55,-0.285,0.7849999999999998,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.8302036975;4.3677889913;-0.9077748227;5.9647637924;-4.4010000243;4.6251225178
0.55,-0.285,0.6849999999999997,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-3.4529816177;-2.1218447897;-0.2946515125;-3.8666890141;4.4010000129;1.6580627614
0.55,-0.285,0.6649999999999997,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-3.4529816172;-2.0454863447;-0.4876244891;2.5331108335;4.4010000168;1.4835298636
0.55,-0.285,0.6449999999999997,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.8302036648;4.2855059368;-0.6225529944;-3.6629529093;4.4009998538;1.4835296478
0.55,-0.285,0.5849999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.8302037102;-1.8874236959;-1.4623852812;0.2082163427;-4.4010000366;-1.6580627262
0.55,-0.285,0.5649999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.8302036894;-1.8984407998;-0.9858375179;2.8842783241;-1.8821852910;-4.8869218843
0.55,-0.285,0.5449999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-3.4529819734;4.3972799110;-1.0551497027;2.9410550987;4.4009996605;-4.7996554431
0.55,-0.285,0.5249999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.8302015573;4.4064396902;-1.1191677336;-3.2872717347;-1.8821874518;1.4835301295
0.55,-0.285,0.5049999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-3.4529816211;-1.8706310606;-1.1786295365;-3.2339247029;-1.8821852944;1.3962634254
0.55,-0.285,0.48499999999999954,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.8302044595;4.4158902607;-1.2341425686;-3.1817477680;4.4010007916;1.4835296119
